nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,100,10,100,12589,sub61,pub1,16,14314,3062,17392
1,1,100,10,100,12589,sub23,pub1,16,14354,3065,17435
1,1,100,10,100,12589,sub77,pub1,16,14394,3066,17476
1,1,100,10,100,12589,sub84,pub1,16,14434,3069,17519
1,1,100,10,100,12589,sub20,pub1,16,14478,3066,17560
1,1,100,10,100,12589,sub58,pub1,16,14559,3028,17603
1,1,100,10,100,12589,sub11,pub1,16,14678,3033,17727
1,1,100,10,100,12589,sub17,pub1,16,15078,3038,18132
1,1,100,10,100,12589,sub33,pub1,16,16010,2991,19017
1,1,100,10,100,12589,sub6,pub1,16,16050,3030,19096
1,1,100,10,100,12589,sub25,pub1,16,16130,3031,19177
1,1,100,10,100,12589,sub40,pub1,16,16170,3033,19219
1,1,100,10,100,12589,sub90,pub1,16,16250,3035,19301
1,1,100,10,100,12589,sub3,pub1,16,16291,3037,19344
1,1,100,10,100,12589,sub66,pub1,16,16330,3038,19384
1,1,100,10,100,12589,sub56,pub1,16,16370,3041,19427
1,1,100,10,100,12589,sub73,pub1,16,16450,3043,19509
1,1,100,10,100,12589,sub59,pub1,16,16491,3045,19552
1,1,100,10,100,12589,sub35,pub1,16,16530,3046,19592
1,1,100,10,100,12589,sub80,pub1,16,16610,3087,19713
1,1,100,10,100,12589,sub79,pub1,16,16650,3090,19756
1,1,100,10,100,12589,sub24,pub1,16,16770,3091,19877
1,1,100,10,100,12589,sub41,pub1,16,16810,3093,19919
1,1,100,10,100,12589,sub67,pub1,16,16850,3094,19960
1,1,100,10,100,12589,sub45,pub1,16,16891,3097,20004
1,1,100,10,100,12589,sub48,pub1,16,17014,3059,20089
1,1,100,10,100,12589,sub60,pub1,16,17054,3061,20131
1,1,100,10,100,12589,sub16,pub1,16,17094,3062,20172
1,1,100,10,100,12589,sub34,pub1,16,17174,3062,20252
1,1,100,10,100,12589,sub27,pub1,16,17218,3061,20295
1,1,100,10,100,12589,sub39,pub1,16,17258,3066,20340
1,1,100,10,100,12589,sub62,pub1,16,17298,3069,20383
1,1,100,10,100,12589,sub13,pub1,16,17338,3070,20424
1,1,100,10,100,12589,sub61,pub2,26,17330,3072,20428
1,1,100,10,100,12589,sub23,pub2,26,17373,3070,20469
1,1,100,10,100,12589,sub77,pub2,26,17414,3072,20512
1,1,100,10,100,12589,sub84,pub2,26,17457,3072,20555
1,1,100,10,100,12589,sub20,pub2,26,17497,3073,20596
1,1,100,10,100,12589,sub58,pub2,26,17541,3073,20640
1,1,100,10,100,12589,sub38,pub1,16,17630,3074,20720
1,1,100,10,100,12589,sub26,pub1,16,17670,3077,20763
1,1,100,10,100,12589,sub11,pub2,26,17665,3074,20765
1,1,100,10,100,12589,sub55,pub1,16,17754,3077,20847
1,1,100,10,100,12589,sub98,pub1,16,17794,3078,20888
1,1,100,10,100,12589,sub18,pub1,16,17834,3081,20931
1,1,100,10,100,12589,sub2,pub1,16,17874,3082,20972
1,1,100,10,100,12589,sub15,pub1,16,17914,3086,21016
1,1,100,10,100,12589,sub88,pub1,16,17959,3158,21133
1,1,100,10,100,12589,sub50,pub1,16,17998,3161,21175
1,1,100,10,100,12589,sub54,pub1,16,18038,3162,21216
1,1,100,10,100,12589,sub97,pub1,16,18078,3165,21259
1,1,100,10,100,12589,sub17,pub2,26,18070,3165,21261
1,1,100,10,100,12589,sub78,pub1,16,18158,3169,21343
1,1,100,10,100,12589,sub74,pub1,16,18198,3170,21384
1,1,100,10,100,12589,sub10,pub1,16,18238,3173,21427
1,1,100,10,100,12589,sub14,pub1,16,18278,3174,21468
1,1,100,10,100,12589,sub36,pub1,16,18398,3174,21588
1,1,100,10,100,12589,sub89,pub1,16,18438,3178,21632
1,1,100,10,100,12589,sub52,pub1,16,18522,3134,21672
1,1,100,10,100,12589,sub94,pub1,16,18562,3138,21716
1,1,100,10,100,12589,sub83,pub1,16,18642,3138,21796
1,1,100,10,100,12589,sub47,pub1,16,18682,3141,21839
1,1,100,10,100,12589,sub91,pub1,16,18722,3183,21921
1,1,100,10,100,12589,sub85,pub1,16,18762,3185,21963
1,1,100,10,100,12589,sub30,pub1,16,18802,3187,22005
1,1,100,10,100,12589,sub86,pub1,16,18922,3186,22124
1,1,100,10,100,12589,sub96,pub1,16,18962,3189,22167
1,1,100,10,100,12589,sub33,pub2,26,18953,3189,22168
1,1,100,10,100,12589,sub32,pub1,16,19042,3193,22251
1,1,100,10,100,12589,sub6,pub2,26,19034,3193,22253
1,1,100,10,100,12589,sub40,pub2,26,19157,3149,22332
1,1,100,10,100,12589,sub92,pub1,16,19246,3153,22415
1,1,100,10,100,12589,sub90,pub2,26,19238,3153,22417
1,1,100,10,100,12589,sub3,pub2,26,19281,3153,22460
1,1,100,10,100,12589,sub66,pub2,26,19322,3153,22501
1,1,100,10,100,12589,sub56,pub2,26,19365,3153,22544
1,1,100,10,100,12589,sub73,pub2,26,19446,3153,22625
1,1,100,10,100,12589,sub59,pub2,26,19489,3190,22705
1,1,100,10,100,12589,sub35,pub2,26,19530,3192,22748
1,1,100,10,100,12589,sub80,pub2,26,19649,3153,22828
1,1,100,10,100,12589,sub79,pub2,26,19693,3153,22872
1,1,100,10,100,12589,sub49,pub1,16,19782,3155,22953
1,1,100,10,100,12589,sub100,pub1,16,19822,3157,22995
1,1,100,10,100,12589,sub24,pub2,26,19813,3157,22996
1,1,100,10,100,12589,sub41,pub2,26,19857,3156,23039
1,1,100,10,100,12589,sub67,pub2,26,19898,3157,23081
1,1,100,10,100,12589,sub45,pub2,26,19941,3161,23128
1,1,100,10,100,12589,sub48,pub2,26,20026,3117,23169
1,1,100,10,100,12589,sub60,pub2,26,20069,3117,23212
1,1,100,10,100,12589,sub16,pub2,26,20110,3120,23256
1,1,100,10,100,12589,sub34,pub2,26,20189,3121,23336
1,1,100,10,100,12589,sub27,pub2,26,20233,3120,23379
1,1,100,10,100,12589,sub39,pub2,26,20277,3117,23420
1,1,100,10,100,12589,sub62,pub2,26,20321,3117,23464
1,1,100,10,100,12589,sub13,pub2,26,20362,3117,23505
1,1,100,10,100,12589,sub61,pub3,15,19303,3117,22435
1,1,100,10,100,12589,sub23,pub3,15,19344,3117,22476
1,1,100,10,100,12589,sub77,pub3,15,19387,3116,22518
1,1,100,10,100,12589,sub84,pub3,15,19431,3117,22563
1,1,100,10,100,12589,sub20,pub3,15,19472,3117,22604
1,1,100,10,100,12589,sub58,pub3,15,19515,3117,22647
1,1,100,10,100,12589,sub38,pub2,26,20658,3117,23801
1,1,100,10,100,12589,sub26,pub2,26,20701,3116,23843
1,1,100,10,100,12589,sub11,pub3,15,19640,3117,22772
1,1,100,10,100,12589,sub55,pub2,26,20785,3116,23927
1,1,100,10,100,12589,sub98,pub2,26,20826,3117,23969
1,1,100,10,100,12589,sub18,pub2,26,20869,3117,24012
1,1,100,10,100,12589,sub2,pub2,26,20910,3117,24053
1,1,100,10,100,12589,sub15,pub2,26,20989,3118,24133
1,1,100,10,100,12589,sub42,pub1,16,21078,3121,24215
1,1,100,10,100,12589,sub88,pub2,26,21070,3121,24217
1,1,100,10,100,12589,sub50,pub2,26,21113,3121,24260
1,1,100,10,100,12589,sub54,pub2,26,21154,3124,24304
1,1,100,10,100,12589,sub97,pub2,26,21197,3122,24345
1,1,100,10,100,12589,sub17,pub3,15,20136,3124,23275
