nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,10,100,12588,sub8,pub1,1319472803525,1319472805354,23,1829,47,1899
1,1,10,10,100,12588,sub2,pub1,1319472803525,1319472805384,23,1859,62,1944
1,1,10,10,100,12588,sub7,pub1,1319472803525,1319472805400,23,1875,85,1983
1,1,10,10,100,12588,sub10,pub1,1319472803525,1319472805477,23,1952,48,2023
1,1,10,10,100,12588,sub1,pub2,1319472803619,1319472805622,14,2003,44,2061
1,1,10,10,100,12588,sub8,pub2,1319472803619,1319472805624,14,2005,81,2100
1,1,10,10,100,12588,sub3,pub1,1319472803525,1319472805640,23,2115,105,2243
1,1,10,10,100,12588,sub7,pub2,1319472803619,1319472805640,14,2021,146,2181
1,1,10,10,100,12588,sub6,pub1,1319472803525,1319472805722,23,2197,107,2327
1,1,10,10,100,12588,sub5,pub1,1319472803525,1319472805820,23,2295,53,2371
1,1,10,10,100,12588,sub2,pub2,1319472803619,1319472805895,14,2276,43,2333
1,1,10,10,100,12588,sub10,pub2,1319472803619,1319472805902,14,2283,79,2376
1,1,10,10,100,12588,sub3,pub2,1319472803619,1319472805913,14,2294,109,2417
1,1,10,10,100,12588,sub5,pub2,1319472803619,1319472805935,14,2316,132,2462
1,1,10,10,100,12588,sub4,pub1,1319472803525,1319472805938,23,2413,167,2603
1,1,10,10,100,12588,sub9,pub1,1319472803525,1319472806002,23,2477,143,2643
1,1,10,10,100,12588,sub4,pub2,1319472803619,1319472806168,14,2549,49,2612
1,1,10,10,100,12588,sub9,pub2,1319472803619,1319472806168,14,2549,90,2653
1,1,10,10,100,12588,sub1,pub1,1319472803525,1319472806376,23,2851,42,2916
1,1,10,10,100,12588,sub7,pub3,1319472803741,1319472806497,15,2756,42,2813
1,1,10,10,100,12588,sub5,pub3,1319472803741,1319472806580,15,2839,42,2896
1,1,10,10,100,12588,sub4,pub3,1319472803741,1319472806615,15,2874,50,2939
1,1,10,10,100,12588,sub5,pub4,1319472804724,1319472806626,23,1902,81,2006
1,1,10,10,100,12588,sub8,pub3,1319472803741,1319472806637,15,2896,112,3023
1,1,10,10,100,12588,sub10,pub3,1319472803741,1319472806658,15,2917,135,3067
1,1,10,10,100,12588,sub6,pub2,1319472803619,1319472806663,14,3044,175,3233
1,1,10,10,100,12588,sub4,pub4,1319472804724,1319472806739,23,2015,139,2177
1,1,10,10,100,12588,sub3,pub4,1319472804724,1319472806754,23,2030,164,2217
1,1,10,10,100,12588,sub2,pub3,1319472803741,1319472806859,15,3118,102,3235
1,1,10,10,100,12588,sub6,pub3,1319472803741,1319472806915,15,3174,87,3276
1,1,10,10,100,12588,sub1,pub4,1319472804724,1319472806919,23,2195,124,2342
1,1,10,10,100,12588,sub5,pub5,1319472804868,1319472806943,23,2075,139,2237
1,1,10,10,100,12588,sub2,pub4,1319472804724,1319472806973,23,2249,148,2420
