nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,500,10,1,315,sub198,pub1,32,1,39,72
1,1,500,10,1,315,sub424,pub1,32,3,77,112
1,1,500,10,1,315,sub420,pub1,32,5,116,153
1,1,500,10,1,315,sub448,pub1,32,5,155,192
1,1,500,10,1,315,sub450,pub1,32,6,195,233
1,1,500,10,1,315,sub264,pub1,32,9,231,272
1,1,500,10,1,315,sub426,pub1,32,9,273,314
1,1,500,10,1,315,sub467,pub1,32,11,309,352
1,1,500,10,1,315,sub85,pub1,32,14,346,392
1,1,500,10,1,315,sub180,pub1,32,14,386,432
1,1,500,10,1,315,sub265,pub1,32,16,424,472
1,1,500,10,1,315,sub181,pub1,32,18,463,513
1,1,500,10,1,315,sub422,pub1,32,19,508,559
1,1,500,10,1,315,sub322,pub1,32,19,545,596
1,1,500,10,1,315,sub459,pub1,32,20,584,636
1,1,500,10,1,315,sub343,pub1,32,21,623,676
1,1,500,10,1,315,sub487,pub1,32,22,662,716
1,1,500,10,1,315,sub25,pub1,32,23,701,756
1,1,500,10,1,315,sub158,pub1,32,23,741,796
1,1,500,10,1,315,sub182,pub1,32,35,769,836
1,1,500,10,1,315,sub432,pub1,32,47,797,876
1,1,500,10,1,315,sub407,pub1,32,47,837,916
1,1,500,10,1,315,sub346,pub1,32,49,876,957
1,1,500,10,1,315,sub247,pub1,32,49,915,996
1,1,500,10,1,315,sub177,pub1,32,50,955,1037
1,1,500,10,1,315,sub208,pub1,32,51,994,1077
1,1,500,10,1,315,sub194,pub1,32,51,1034,1117
1,1,500,10,1,315,sub120,pub1,32,52,1073,1157
1,1,500,10,1,315,sub332,pub1,32,52,1112,1196
1,1,500,10,1,315,sub6,pub1,32,53,1151,1236
1,1,500,10,1,315,sub153,pub1,32,55,1190,1277
1,1,500,10,1,315,sub396,pub1,32,54,1230,1316
1,1,500,10,1,315,sub369,pub1,32,56,1268,1356
1,1,500,10,1,315,sub129,pub1,32,56,1308,1396
1,1,500,10,1,315,sub307,pub1,32,57,1347,1436
1,1,500,10,1,315,sub117,pub1,32,59,1385,1476
1,1,500,10,1,315,sub37,pub1,32,59,1425,1516
1,1,500,10,1,315,sub349,pub1,32,60,1464,1556
1,1,500,10,1,315,sub488,pub1,32,61,1503,1596
1,1,500,10,1,315,sub397,pub1,32,62,1543,1637
1,1,500,10,1,315,sub454,pub1,32,62,1582,1676
1,1,500,10,1,315,sub146,pub1,32,63,1621,1716
1,1,500,10,1,315,sub130,pub1,32,63,1661,1756
1,1,500,10,1,315,sub267,pub1,32,64,1700,1796
1,1,500,10,1,315,sub87,pub1,32,64,1740,1836
1,1,500,10,1,315,sub440,pub1,32,65,1779,1876
1,1,500,10,1,315,sub289,pub1,32,65,1819,1916
1,1,500,10,1,315,sub187,pub1,32,66,1858,1956
1,1,500,10,1,315,sub66,pub1,32,66,1898,1996
1,1,500,10,1,315,sub213,pub1,32,67,1937,2036
1,1,500,10,1,315,sub105,pub1,32,67,1977,2076
1,1,500,10,1,315,sub215,pub1,32,68,2017,2117
1,1,500,10,1,315,sub111,pub1,32,69,2055,2156
1,1,500,10,1,315,sub23,pub1,32,70,2102,2204
1,1,500,10,1,315,sub327,pub1,32,68,2141,2241
1,1,500,10,1,315,sub268,pub1,32,69,2176,2277
1,1,500,10,1,315,sub428,pub1,32,69,2216,2317
1,1,500,10,1,315,sub234,pub1,32,93,2239,2364
1,1,500,10,1,315,sub151,pub1,32,94,2278,2404
1,1,500,10,1,315,sub100,pub1,32,95,2317,2444
1,1,500,10,1,315,sub375,pub1,32,96,2356,2484
1,1,500,10,1,315,sub93,pub1,32,97,2396,2525
1,1,500,10,1,315,sub209,pub1,32,97,2435,2564
1,1,500,10,1,315,sub14,pub1,32,100,2472,2604
1,1,500,10,1,315,sub65,pub1,32,100,2512,2644
1,1,500,10,1,315,sub290,pub1,32,102,2550,2684
1,1,500,10,1,315,sub464,pub1,32,103,2589,2724
1,1,500,10,1,315,sub152,pub1,32,104,2628,2764
1,1,500,10,1,315,sub238,pub1,32,103,2668,2803
1,1,500,10,1,315,sub199,pub1,32,105,2707,2844
1,1,500,10,1,315,sub382,pub1,32,106,2746,2884
1,1,500,10,1,315,sub165,pub1,32,110,2782,2924
1,1,500,10,1,315,sub323,pub1,32,110,2822,2964
1,1,500,10,1,315,sub421,pub1,32,112,2861,3005
1,1,500,10,1,315,sub362,pub1,32,111,2900,3043
1,1,500,10,1,315,sub383,pub1,32,112,2940,3084
1,1,500,10,1,315,sub170,pub1,32,114,2978,3124
1,1,500,10,1,315,sub109,pub1,32,119,3013,3164
1,1,500,10,1,315,sub101,pub1,32,120,3052,3204
1,1,500,10,1,315,sub46,pub1,32,162,3050,3244
1,1,500,10,1,315,sub12,pub1,32,202,3050,3284
1,1,500,10,1,315,sub499,pub1,32,241,3052,3325
1,1,500,10,1,315,sub274,pub1,32,293,3039,3364
1,1,500,10,1,315,sub447,pub1,32,321,3051,3404
1,1,500,10,1,315,sub229,pub1,32,364,3048,3444
1,1,500,10,1,315,sub128,pub1,32,405,3047,3484
1,1,500,10,1,315,sub402,pub1,32,442,3050,3524
1,1,500,10,1,315,sub36,pub1,32,480,3052,3564
1,1,500,10,1,315,sub399,pub1,32,527,3045,3604
1,1,500,10,1,315,sub41,pub1,32,596,3017,3645
1,1,500,10,1,315,sub498,pub1,32,607,3045,3684
1,1,500,10,1,315,sub51,pub1,32,646,3046,3724
1,1,500,10,1,315,sub288,pub1,32,691,3041,3764
1,1,500,10,1,315,sub147,pub1,32,771,3001,3804
1,1,500,10,1,315,sub11,pub1,32,119,3693,3844
1,1,500,10,1,315,sub444,pub1,32,595,3257,3884
1,1,500,10,1,315,sub455,pub1,32,859,3033,3924
1,1,500,10,1,315,sub193,pub1,32,891,3041,3964
