nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
30,1,1,10,1000,124086,sub1,pub4,1319482525661,1319482526820,17,1159,91,1267
30,1,1,10,1000,124086,sub1,pub3,1319482525460,1319482527024,14,1564,86,1664
30,1,1,10,1000,124086,sub1,pub7,1319482526267,1319482529072,17,2805,81,2903
30,1,1,10,1000,124086,sub1,pub1,1319482524881,1319482529202,17,4321,84,4422
30,1,1,10,1000,124087,sub1,pub10,1319482527065,1319482531141,18,4076,85,4179
30,1,1,10,1000,124086,sub1,pub2,1319482525271,1319482533015,26,7744,87,7857
30,1,1,10,1000,124086,sub1,pub8,1319482526456,1319482535064,14,8608,86,8708
30,1,1,10,1000,124086,sub1,pub5,1319482525845,1319482538526,18,12681,85,12784
30,1,1,10,1000,124086,sub1,pub9,1319482526647,1319482542492,24,15845,87,15956
30,1,1,10,1000,124086,sub1,pub6,1319482526037,1319482543300,20,17263,85,17368
30,2,1,10,1000,124086,sub1,pub4,1319482632057,1319482633423,27,1366,91,1484
30,2,1,10,1000,124086,sub1,pub3,1319482631818,1319482633538,26,1720,95,1841
30,2,1,10,1000,124086,sub1,pub1,1319482631434,1319482635122,16,3688,84,3788
30,2,1,10,1000,124086,sub1,pub7,1319482632557,1319482635878,16,3321,91,3428
30,2,1,10,1000,124087,sub1,pub10,1319482633137,1319482637398,12,4261,84,4357
30,2,1,10,1000,124086,sub1,pub2,1319482631625,1319482637934,16,6309,87,6412
30,2,1,10,1000,124086,sub1,pub8,1319482632752,1319482640984,12,8232,93,8337
30,2,1,10,1000,124086,sub1,pub5,1319482632221,1319482644657,17,12436,84,12537
30,2,1,10,1000,124086,sub1,pub9,1319482632930,1319482647932,15,15002,85,15102
30,2,1,10,1000,124086,sub1,pub6,1319482632391,1319482648841,15,16450,87,16552
30,3,1,10,1000,124086,sub1,pub4,1319482738017,1319482739114,24,1097,84,1205
30,3,1,10,1000,124086,sub1,pub3,1319482737808,1319482739518,15,1710,83,1808
30,3,1,10,1000,124086,sub1,pub1,1319482737436,1319482740742,16,3306,83,3405
30,3,1,10,1000,124086,sub1,pub7,1319482738594,1319482742142,22,3548,83,3653
30,3,1,10,1000,124087,sub1,pub10,1319482739539,1319482743527,14,3988,86,4088
30,3,1,10,1000,124086,sub1,pub2,1319482737619,1319482744564,12,6945,85,7042
30,3,1,10,1000,124086,sub1,pub8,1319482738821,1319482746873,24,8052,84,8160
30,3,1,10,1000,124086,sub1,pub5,1319482738209,1319482749981,33,11772,104,11909
30,3,1,10,1000,124086,sub1,pub9,1319482739131,1319482754271,25,15140,86,15251
30,3,1,10,1000,124086,sub1,pub6,1319482738382,1319482755044,17,16662,89,16768
30,4,1,10,1000,124086,sub1,pub4,1319482844373,1319482845578,23,1205,104,1332
30,4,1,10,1000,124086,sub1,pub3,1319482844132,1319482845918,24,1786,83,1893
30,4,1,10,1000,124086,sub1,pub1,1319482843765,1319482847047,18,3282,86,3386
30,4,1,10,1000,124086,sub1,pub7,1319482844957,1319482848117,14,3160,84,3258
30,4,1,10,1000,124087,sub1,pub10,1319482845822,1319482850162,18,4340,83,4441
30,4,1,10,1000,124086,sub1,pub2,1319482843948,1319482851397,14,7449,85,7548
30,4,1,10,1000,124086,sub1,pub8,1319482845125,1319482852723,15,7598,87,7700
30,4,1,10,1000,124086,sub1,pub5,1319482844559,1319482856749,16,12190,84,12290
30,4,1,10,1000,124086,sub1,pub9,1319482845349,1319482860457,22,15108,84,15214
30,4,1,10,1000,124086,sub1,pub6,1319482844754,1319482861214,13,16460,87,16560
30,5,1,10,1000,124086,sub1,pub3,1319482950500,1319482952655,24,2155,92,2271
30,5,1,10,1000,124086,sub1,pub4,1319482950709,1319482952819,18,2110,87,2215
30,5,1,10,1000,124086,sub1,pub1,1319482950117,1319482954283,23,4166,86,4275
30,5,1,10,1000,124086,sub1,pub7,1319482951948,1319482955103,20,3155,86,3261
30,5,1,10,1000,124087,sub1,pub10,1319482952645,1319482956959,15,4314,86,4415
30,5,1,10,1000,124086,sub1,pub2,1319482950307,1319482958535,24,8228,86,8338
30,5,1,10,1000,124086,sub1,pub8,1319482952155,1319482960505,25,8350,85,8460
30,5,1,10,1000,124086,sub1,pub5,1319482950916,1319482962773,16,11857,85,11958
30,5,1,10,1000,124086,sub1,pub9,1319482952348,1319482965743,24,13395,86,13505
30,5,1,10,1000,124086,sub1,pub6,1319482951098,1319482968875,13,17777,87,17877
30,6,1,10,1000,124086,sub1,pub4,1319483057713,1319483058883,19,1170,87,1276
30,6,1,10,1000,124086,sub1,pub3,1319483057529,1319483059157,23,1628,85,1736
30,6,1,10,1000,124086,sub1,pub1,1319483057108,1319483060855,21,3747,87,3855
30,6,1,10,1000,124086,sub1,pub7,1319483058365,1319483061122,14,2757,83,2854
30,6,1,10,1000,124087,sub1,pub10,1319483059255,1319483063375,16,4120,86,4222
30,6,1,10,1000,124086,sub1,pub2,1319483057336,1319483063671,24,6335,86,6445
30,6,1,10,1000,124086,sub1,pub8,1319483058576,1319483067374,21,8798,84,8903
30,6,1,10,1000,124086,sub1,pub5,1319483057907,1319483070180,15,12273,85,12373
30,6,1,10,1000,124086,sub1,pub9,1319483058841,1319483074281,20,15440,84,15544
30,6,1,10,1000,124086,sub1,pub6,1319483058139,1319483074548,24,16409,85,16518
30,7,1,10,1000,124086,sub1,pub4,1319483164205,1319483165595,15,1390,86,1491
30,7,1,10,1000,124086,sub1,pub3,1319483164048,1319483165989,15,1941,86,2042
30,7,1,10,1000,124086,sub1,pub1,1319483163669,1319483168370,23,4701,84,4808
30,7,1,10,1000,124086,sub1,pub7,1319483164840,1319483168667,15,3827,87,3929
30,7,1,10,1000,124087,sub1,pub10,1319483165415,1319483170098,17,4683,84,4784
30,7,1,10,1000,124086,sub1,pub2,1319483163864,1319483172058,19,8194,84,8297
30,7,1,10,1000,124086,sub1,pub8,1319483165033,1319483174120,14,9087,86,9187
