nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,1,1,313,sub10,pub1,11,1854,116,1981
1,1,10,1,1,313,sub9,pub1,11,1949,238,2198
1,1,10,1,1,313,sub2,pub1,11,2071,456,2538
1,1,10,1,1,313,sub4,pub1,11,2152,414,2577
1,1,10,1,1,313,sub3,pub1,11,2330,519,2860
1,1,10,1,1,313,sub8,pub1,11,2408,486,2905
1,1,10,1,1,313,sub6,pub1,11,2491,443,2945
1,1,10,1,1,313,sub1,pub1,11,2697,406,3114
1,1,10,1,1,313,sub7,pub1,11,2776,367,3154
1,1,10,1,1,313,sub5,pub1,11,4408,115,4534
1,1,10,1,1,313,sub6,pub1,13,13139,39,13191
1,1,10,1,1,313,sub3,pub1,13,13458,120,13591
1,1,10,1,1,313,sub4,pub1,13,14046,40,14099
1,1,10,1,1,313,sub2,pub1,13,15448,44,15505
1,1,10,1,1,313,sub8,pub1,13,15587,203,15803
1,1,10,1,1,313,sub9,pub1,13,15752,150,15915
1,1,10,1,1,313,sub5,pub1,13,16999,38,17050
1,1,10,1,1,313,sub7,pub1,13,17646,39,17698
1,1,10,1,1,313,sub1,pub1,13,19253,40,19306
1,1,10,1,1,313,sub10,pub1,13,21203,39,21255
1,1,10,1,1,313,sub5,pub1,20,7223,40,7283
1,1,10,1,1,313,sub10,pub1,20,7253,50,7323
1,1,10,1,1,313,sub2,pub1,20,7283,60,7363
1,1,10,1,1,313,sub3,pub1,20,7617,38,7675
1,1,10,1,1,313,sub9,pub1,20,7849,218,8087
1,1,10,1,1,313,sub8,pub1,20,7930,177,8127
1,1,10,1,1,313,sub1,pub1,20,8025,204,8249
1,1,10,1,1,313,sub6,pub1,20,8342,371,8733
1,1,10,1,1,313,sub7,pub1,20,8419,335,8774
1,1,10,1,1,313,sub4,pub1,20,8675,207,8902
1,1,10,1,1,313,sub5,pub1,12,218,110,340
1,1,10,1,1,313,sub2,pub1,12,293,163,468
1,1,10,1,1,313,sub8,pub1,12,421,159,592
1,1,10,1,1,313,sub7,pub1,12,460,160,632
1,1,10,1,1,313,sub1,pub1,12,544,115,671
1,1,10,1,1,313,sub10,pub1,12,852,92,956
1,1,10,1,1,313,sub4,pub1,12,908,160,1080
1,1,10,1,1,313,sub9,pub1,12,1030,158,1200
1,1,10,1,1,313,sub3,pub1,12,1153,314,1479
1,1,10,1,1,313,sub6,pub1,12,1274,273,1559
1,1,10,1,1,313,sub1,pub1,11,4487,41,4539
1,1,10,1,1,313,sub9,pub1,11,4669,215,4895
1,1,10,1,1,313,sub5,pub1,11,4856,260,5127
1,1,10,1,1,313,sub4,pub1,11,5077,278,5366
1,1,10,1,1,313,sub6,pub1,11,5224,460,5695
1,1,10,1,1,313,sub8,pub1,11,5320,488,5819
1,1,10,1,1,313,sub10,pub1,11,5440,448,5899
1,1,10,1,1,313,sub3,pub1,11,5648,360,6019
1,1,10,1,1,313,sub2,pub1,11,5772,316,6099
1,1,10,1,1,313,sub7,pub1,11,6593,199,6803
1,1,10,1,1,313,sub5,pub1,11,8153,257,8421
1,1,10,1,1,313,sub8,pub1,11,8211,239,8461
1,1,10,1,1,313,sub2,pub1,11,8234,256,8501
1,1,10,1,1,313,sub4,pub1,11,8406,204,8621
1,1,10,1,1,313,sub6,pub1,11,8426,224,8661
1,1,10,1,1,313,sub7,pub1,11,8470,220,8701
1,1,10,1,1,313,sub1,pub1,11,8574,156,8741
1,1,10,1,1,313,sub9,pub1,11,8698,72,8781
1,1,10,1,1,313,sub3,pub1,11,8699,111,8821
1,1,10,1,1,313,sub10,pub1,11,9431,127,9569
1,1,10,1,1,313,sub10,pub1,11,88,62,161
1,1,10,1,1,313,sub4,pub1,11,137,133,281
1,1,10,1,1,313,sub1,pub1,11,234,75,320
1,1,10,1,1,313,sub3,pub1,11,317,120,448
1,1,10,1,1,313,sub9,pub1,11,559,83,653
1,1,10,1,1,313,sub8,pub1,11,685,41,737
1,1,10,1,1,313,sub7,pub1,11,1040,38,1089
1,1,10,1,1,313,sub6,pub1,11,1535,283,1829
1,1,10,1,1,313,sub5,pub1,11,1698,159,1868
1,1,10,1,1,313,sub2,pub1,11,2803,203,3017
1,1,10,1,1,313,sub1,pub1,12,287,186,485
1,1,10,1,1,313,sub4,pub1,12,358,155,525
1,1,10,1,1,313,sub3,pub1,12,407,145,564
1,1,10,1,1,313,sub8,pub1,12,673,40,725
1,1,10,1,1,313,sub10,pub1,12,1094,39,1145
1,1,10,1,1,313,sub5,pub1,12,1499,118,1629
1,1,10,1,1,313,sub6,pub1,12,1841,75,1928
1,1,10,1,1,313,sub9,pub1,12,2657,120,2789
1,1,10,1,1,313,sub7,pub1,12,2861,159,3032
1,1,10,1,1,313,sub2,pub1,12,2946,115,3073
1,1,10,1,1,313,sub99,pub1,21,5363,560,5944
1,1,10,1,1,313,sub13,pub1,21,6011,693,6725
1,1,10,1,1,313,sub72,pub1,21,6886,699,7606
1,1,10,1,1,313,sub80,pub1,21,7546,80,7647
1,1,10,1,1,313,sub4,pub1,21,7714,39,7774
1,1,10,1,1,313,sub47,pub1,21,8463,42,8526
1,1,10,1,1,313,sub33,pub1,21,8705,39,8765
1,1,10,1,1,313,sub39,pub1,21,9297,39,9357
1,1,10,1,1,313,sub81,pub1,21,9882,43,9946
1,1,10,1,1,313,sub31,pub1,21,10162,143,10326
1,1,10,1,1,313,sub8,pub1,21,10269,160,10450
1,1,10,1,1,313,sub63,pub1,21,10410,59,10490
1,1,10,1,1,313,sub70,pub1,21,10983,209,11213
1,1,10,1,1,313,sub100,pub1,21,11068,158,11247
1,1,10,1,1,313,sub45,pub1,21,11158,123,11302
1,1,10,1,1,313,sub61,pub1,21,11372,113,11506
1,1,10,1,1,313,sub35,pub1,21,11449,76,11546
